Data,Body Fat %,Peso
2026-01-20,24.61,95.4
2026-01-21,22.26,95.9
2026-01-22,21.95,96.1
2026-01-23,17.69,95.5
2026-01-24,21.73,94.6
2026-01-25,26.24,95.0
2026-01-26,,94.8
2026-01-27,,94.1
2026-01-28,,93.8
2026-01-29,,93.5
2026-01-30,,93.9
2026-01-31,,94.2
2026-02-01,,93.9
2026-02-02,,93.4
2026-02-03,,92.6
2026-02-04,,93.0
2026-02-05,,93.0
2026-02-06,,93.5
2026-02-07,,93.1
2026-02-08,,93.5
2026-02-09,,92.4
2026-02-10,,92.5
2026-02-11,,92.1
2026-02-12,,92.3
2026-02-13,,92.3
2026-02-14,,92.3
2026-02-15,24.71,91.5
2026-02-16,21.21,91.5
2026-02-17,22.63,91.2
2026-02-18,23.69,91.0
2026-02-19,22.25,91.3
2026-02-20,,91.4
2026-02-21,20.79,90.9
2026-02-22,17.08,91.3
2026-02-23,20.11,91.3
2026-02-24,13.62,90.0
2026-02-25,15.53,90.1
2026-02-26,14.51,90.1
2026-03-01,,93.2
2026-03-02,22.81,92.0
2026-03-03,13.97,91.0
2026-03-04,21.09,91.7
2026-03-05,12.04,90.4
2026-03-06,23.63,90.5
